arch,version,run,source,start,end,ann_return,ann_vol,sharpe,sortino,cagr,calmar,mdd,mdd_duration,ulcer,hit_rate,var95,es95,var99,es99,tracking_error,corr,mae,rmse,r2,info_ratio
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,210,336,0.06513841769699424,0.19894927502958268,0.32741218929955146,0.5509063657904385,0.05435412862109712,1.2089622080787095,-0.04495932813936099,34,0.023540682947824007,0.5079365079365079,-0.020823815296295258,-0.02443522784731389,-0.026479978945678603,-0.0289179074566166,0.24734623975690762,-0.01491649927511295,0.01209030633091776,0.015524174034902218,-0.5466546678448814,-0.3924360540043137
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,231,357,0.06760311664391638,0.20374684868601,0.33179956931799287,0.5292496598632365,0.015662340496036098,0.2622086233823141,-0.05973236232280421,38,0.027407513001948578,0.5238095238095238,-0.021631592280804853,-0.02624498511644015,-0.029774847162638948,-0.03240958442774944,0.24109376964750576,0.07038662352279032,0.012045748055094521,0.015131749625283271,-0.40106268232298303,-0.39239041097743405
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,252,378,-0.01855914166085415,0.1950640045702149,-0.0951438565087678,-0.1411818661630302,0.017854695850205493,0.2989115975978896,-0.059732362322804544,59,0.02929182149418318,0.5079365079365079,-0.021484935272131682,-0.02624498511644015,-0.029774847162638948,-0.03240958442774944,0.2392818824336633,0.02738289581419372,0.011197198278599859,0.015030534372568382,-0.5081885641972457,-0.755448510444447
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,273,399,-0.03349282574054868,0.1900705364839053,-0.17621261222348775,-0.25546507056388673,-0.047920664734584895,-0.8022563125096759,-0.05973236232280432,80,0.03200135915235904,0.5317460317460317,-0.021484935272131682,-0.025517377253443274,-0.029050798063745657,-0.03240958442774944,0.24369874503773764,-0.04598543380968813,0.011602667505823904,0.015310245655568714,-0.6481464144658873,-0.8030358371777585
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,294,420,0.02439370820207243,0.1883316661296745,0.1295252609578482,0.19604325400671824,0.037728605352783884,0.6316275446949856,-0.05973236232280388,101,0.033207271980414406,0.5238095238095238,-0.021484935272131682,-0.02452802295952586,-0.02428279587696308,-0.02924760681791816,0.22172930097285506,0.12994190311775408,0.010987237071401805,0.013922839997505005,-0.3882575379011328,-0.6215339659362347
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,315,441,0.010332394348519403,0.19416463415879473,0.0532146051894765,0.08514756458190997,0.0022332294218605497,0.03738726102597089,-0.05973236232280421,122,0.035169546530300924,0.5158730158730159,-0.020112724608537295,-0.02396668483919619,-0.023834366003785357,-0.02919753527384683,0.2445355638448267,-0.024194869804170346,0.012445108165667311,0.015354874575276758,-0.5885956238418637,-0.6210696033884628
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,336,462,0.015879100744187857,0.19799489704555145,0.08019954544856099,0.13526745841017693,-0.003822347250957314,-0.10140388382571394,-0.0376942884902407,101,0.02132678429387515,0.5079365079365079,-0.01929240213127162,-0.023481128507982323,-0.023734348526444512,-0.02919753527384683,0.24176532758897532,0.026229911664212586,0.012190862322784626,0.015180337571019565,-0.4931929708858107,-0.6052435256745425
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,357,483,-0.0036190565672311603,0.1954681235837205,-0.01851481715217413,-0.03157945590365004,-0.02156275250986428,-0.44488561034527757,-0.048468082600220175,102,0.024217264914496585,0.5,-0.019145254621194374,-0.023055263471425946,-0.023734348526444512,-0.02902233878477639,0.23777075708248432,0.04293212105655847,0.012424118009880011,0.014933099730648929,-0.48254920445917904,-0.697415689809598
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,378,504,0.04050687030748201,0.19834247455262533,0.2042269080228426,0.3639824891241946,0.01610892200868097,0.33236144581068455,-0.04846808260022051,63,0.025387358648324775,0.5158730158730159,-0.019145254621194374,-0.023462137158292356,-0.023962411574331044,-0.02902233878477639,0.2533581413629373,-0.07186771145996873,0.012633572493717665,0.015903936959252005,-0.6331982636760627,-0.4803442630177146
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,399,525,0.08814295571153297,0.1995753988948836,0.4416524090624912,0.8088783539455017,0.010524541806937293,0.21714376229294888,-0.04846808260022051,63,0.027145054832164887,0.5079365079365079,-0.01842194611230802,-0.022941482954584664,-0.023962411574331044,-0.02902233878477639,0.26543236587251384,-0.1718488783050622,0.012932268350135653,0.01665677642476182,-0.769412022762888,-0.2790279325771422
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,420,546,0.024162176768357524,0.1966692309860555,0.12285692402016209,0.2167277074714416,-0.011906019665199108,-0.24072690154057913,-0.04945861716743827,82,0.027822688190863535,0.5079365079365079,-0.018253071142006416,-0.02346219298706187,-0.029714982775009436,-0.032857386251895326,0.23501782979787653,0.07395815720646977,0.011829891511767497,0.014756037181852245,-0.42997259830337753,-0.5873759593064277
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,441,567,0.04082052462073538,0.19454106671332563,0.20982985911600982,0.36267945398417484,0.06072559805054745,1.1258971367169235,-0.053935298412447485,103,0.029075727365326202,0.5158730158730159,-0.017764672704096034,-0.02365385006908243,-0.029714982775009436,-0.032857386251895326,0.2431264419297538,-0.00927462291317345,0.01238141797780159,0.015262232415337184,-0.5634162175789816,-0.49926891709432564
